App_ID,App_Genre,Actual Genre,Rating,User_Ratings,Sensors,Permissions,Consent_Prompts
Airplane Pilot Training Simulator,Training,Hands-on Training / Learning,5,3,1,1,0.00
Virtual Book Reader,Entertainment,Travel & Exploration,0,0,1,1,0.00
Bowling Alley,Entertainment,Simulation / Sport,2.3,0,1,1,0.00
Endless Climber,Entertainment,Sport,3.3,29,1,1,0.00
ZenoteVR,Fitness & Wellness,Fitness & Wellness,5,1,2,2,0.00
Fit Beat Combat: Free Style Boxing,Entertainment,Fitness & Wellness / Sport,4.5,123,3,3,0.00
Fit Beat Combat: Free Style Boxing,Fitness & Wellness,Fitness & Wellness / Sport,4.5,123,3,3,0.00
Hell Battlegrounds Project,Entertainment,Action / Shooter,4.7,382,2,2,0.00
Rival,Entertainment,Media / Creativity,4.5,131,2,2,0.00
3DtoMe,Utilities,Productivity / Learning / Creativity,3,2,1,2,0.00
Calculator two memory cells,Utilities,Productivity,4,4,2,2,0.00
Nightmare Tag,Entertainment,Action,4.2,248,2,3,0.00
Tempo Travelers,Entertainment,Action,4.7,91,2,3,1.00
Augmented Reality Basketball,Entertainment,Hands-on Training / Learning / Sport,1,1,3,3,0.00
Augmented Reality Basketball,Training,Hands-on Training / Learning / Sport,1,1,3,3,0.00
Augmented Reality Basketball,Fitness & Wellness,Hands-on Training / Learning / Sport,1,1,3,3,0.00
Dream Space: The Ceiling Edition,Fitness & Wellness,Travel & exploration / Fitness & wellness / Media,4.4,10,3,3,1.00
AR Toolkit,Utilities,Utilities,2,1,3,3,0.00
CapuCompany,Entertainment,Action,3.7,615,2,3,1.00
"Sketchar AR Drawing, Painting, Tracing",Entertainment,Creativity / Learning,2.9,23,3,3,0.00
"Sketchar AR Drawing, Painting, Tracing",Utilities,Creativity / Learning,2.9,23,3,3,0.00
Worlds,Entertainment,World Creation,3.5,1400,3,4,1.00
Twenty Guys - Early Access,Entertainment,Sandbox / Action,4.9,1900,4,4,0.00
StageTime,Entertainment,Community / Events / Media,4.6,417,3,4,0.00
Motion Soccor,Entertainment,Sport / Simulation,3.1,55,2,4,1.00
Spirit Sling Tabletop,Entertainment,Tabletop / Strategy,4.3,18,4,4,0.00
SkillsVR: Empowered Reality,Training,Learning,2.7,31,3,4,1.00
TechniCapture,Utilities,Productivity / Learning,0,0,4,5,1.00
TechniCapture,Training,Productivity / Learning,0,0,4,5,1.00
Mixreal AI,Utilities,Creativity / Productivity,0,0,4,5,0.00
Gravity Sketch,Utilities,Creativity / Productivity,4.1,1100,4,5,0.00
ShapesXR,Utilities,Creativity,4.3,368,5,5,0.00
VirtualSpeech,Training,Hands-on training / Learning / Producitivity,3.7,99,4,5,0.00
Mazer,Utilities,Productivity,4.1,18,4,5,1.00
Neao Group Therapy,Fitness & Wellness,Fitness & wellness / Medical,5,1,5,6,1.00
Convai Animation Capture,Utilities,Creativity,3.8,4,5,6,1.00
Arkio,Utilities,Creativity / Productivity / Utilities,3.8,218,5,6,0.00
Arthur,Utilities,Productivity,3.7,56,5,6,1.00
Steam Link,Utilities,Computer Link,3.3,2800,5,6,1.00
Immersed,Utilities,Productivity / Computer Link / Media,4.2,3500,5,7,1.00
